submission_id,F1,F1_NPforms,F2,F2_matchness,List,acceptability,age,comments,education,experiment_duration,experiment_end_time,experiment_start_time,gender,itemNr,languages,practice,responseTime,trialNR
729,,NA,,NA,NA,NA,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,NA,English,65,50915,NA
729,,NA,,NA,NA,NA,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,NA,English,100,10046,NA
729,,NA,,NA,NA,NA,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,NA,English,24,8881,NA
729,,-filler,,first,5,2,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,904,English,NA,46187,0
729,,part,,+match,5,97,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,51,English,NA,6095,1
729,,sum,,+match,5,97,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,46,English,NA,5398,2
729,,+filler,,second,5,77,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,903,English,NA,10284,3
729,,sum,,random,5,99,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,20,English,NA,3823,4
729,,+filler,,second,5,2,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,905,English,NA,10460,5
729,,part,,-match,5,21,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,5,English,NA,8450,6
729,,sum,,-match,5,76,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,36,English,NA,10091,7
729,,sum,,-match,5,97,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,72,English,NA,4011,8
729,,sum,,random,5,71,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,128,English,NA,8197,9
729,,sum,,-match,5,100,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,144,English,NA,5019,10
729,,sum,,+match,5,100,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,10,English,NA,3547,11
729,,part,,+match,5,99,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,15,English,NA,11344,12
729,,sum,,-match,5,85,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,108,English,NA,7593,13
729,,part,,+match,5,78,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,87,English,NA,6171,14
729,,sum,,+match,5,71,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,118,English,NA,7585,15
729,,part,,random,5,63,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,97,English,NA,8820,16
729,,sum,,random,5,88,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,92,English,NA,7892,17
729,,-filler,,first,5,10,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,906,English,NA,7690,18
729,,part,,random,5,68,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,25,English,NA,18567,19
729,,part,,random,5,23,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,133,English,NA,5752,20
729,,part,,-match,5,25,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,41,English,NA,4731,21
729,,sum,,+match,5,69,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,82,English,NA,7956,22
729,,part,,random,5,19,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,61,English,NA,6507,23
729,,+filler,,second,5,13,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,901,English,NA,7981,24
729,,sum,,random,5,35,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,56,English,NA,8180,25
729,,part,,+match,5,95,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,123,English,NA,7663,26
729,,part,,-match,5,26,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,113,English,NA,6725,27
729,,part,,-match,5,22,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,77,English,NA,8722,28
729,,-filler,,first,5,20,27,this is cerys pilot run. super cool! ,Graduated College,462300,1741637469436,1741637007136,female,902,English,NA,5315,29
730,,part,,-match,2,NA,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,803,English,33,25320,0
730,,part,,+match,2,NA,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,801,English,100,5408,1
730,,sum,,random,2,NA,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,802,English,44,18636,2
730,,+filler,,second,2,10,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,901,English,NA,10030,0
730,,sum,,random,2,39,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,38,English,NA,10158,1
730,,sum,,+match,2,80,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,64,English,NA,11917,2
730,,part,,random,2,31,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,7,English,NA,6319,3
730,,part,,+match,2,100,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,69,English,NA,3440,4
730,,sum,,random,2,70,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,2,English,NA,7558,5
730,,-filler,,first,2,28,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,902,English,NA,8682,6
730,,sum,,+match,2,50,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,28,English,NA,6057,7
730,,part,,-match,2,28,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,95,English,NA,13390,8
730,,-filler,,first,2,78,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,904,English,NA,7407,9
730,,part,,+match,2,100,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,141,English,NA,5944,10
730,,part,,-match,2,31,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,131,English,NA,8758,11
730,,sum,,random,2,100,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,110,English,NA,3996,12
730,,sum,,-match,2,99,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,90,English,NA,7511,13
730,,sum,,-match,2,100,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,18,English,NA,4038,14
730,,part,,+match,2,100,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,33,English,NA,5711,15
730,,part,,+match,2,84,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,105,English,NA,14610,16
730,,sum,,+match,2,100,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,100,English,NA,3608,17
730,,part,,random,2,30,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,43,English,NA,5763,18
730,,+filler,,second,2,49,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,905,English,NA,7062,19
730,,+filler,,second,2,23,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,903,English,NA,17253,20
730,,part,,-match,2,23,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,23,English,NA,13355,21
730,,sum,,random,2,81,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,74,English,NA,4694,22
730,,part,,random,2,60,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,79,English,NA,6141,23
730,,part,,random,2,17,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,115,English,NA,3911,24
730,,sum,,-match,2,100,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,54,English,NA,5587,25
730,,sum,,-match,2,80,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,126,English,NA,5238,26
730,,sum,,+match,2,87,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,136,English,NA,10600,27
730,,-filler,,first,2,15,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,906,English,NA,9745,28
730,,part,,-match,2,13,19,,Graduated High-school,8065545,1741666444978,1741658379433,female,59,English,NA,4975,29
945,,part,,-match,6,NA,30,,Higher degree,285144,1741815432208,1741815147064,female,803,English,3,20924,0
945,,part,,+match,6,NA,30,,Higher degree,285144,1741815432208,1741815147064,female,801,English,100,6736,1
945,,sum,,random,6,NA,30,,Higher degree,285144,1741815432208,1741815147064,female,802,English,3,12824,2
945,,sum,,-match,6,2,30,,Higher degree,285144,1741815432208,1741815147064,female,42,English,NA,5955,0
945,,sum,,+match,6,100,30,,Higher degree,285144,1741815432208,1741815147064,female,88,English,NA,4626,1
945,,part,,random,6,3,30,,Higher degree,285144,1741815432208,1741815147064,female,31,English,NA,6728,2
945,,sum,,-match,6,96,30,,Higher degree,285144,1741815432208,1741815147064,female,114,English,NA,11397,3
945,,part,,+match,6,98,30,,Higher degree,285144,1741815432208,1741815147064,female,93,English,NA,7411,4
945,,sum,,+match,6,95,30,,Higher degree,285144,1741815432208,1741815147064,female,16,English,NA,9054,5
945,,-filler,,first,6,2,30,,Higher degree,285144,1741815432208,1741815147064,female,906,English,NA,6356,6
945,,part,,+match,6,94,30,,Higher degree,285144,1741815432208,1741815147064,female,21,English,NA,4914,7
945,,part,,+match,6,93,30,,Higher degree,285144,1741815432208,1741815147064,female,57,English,NA,5392,8
945,,part,,random,6,28,30,,Higher degree,285144,1741815432208,1741815147064,female,103,English,NA,12248,9
945,,part,,+match,6,92,30,,Higher degree,285144,1741815432208,1741815147064,female,129,English,NA,4483,10
945,,sum,,random,6,10,30,,Higher degree,285144,1741815432208,1741815147064,female,26,English,NA,6599,11
945,,+filler,,second,6,5,30,,Higher degree,285144,1741815432208,1741815147064,female,903,English,NA,6344,12
945,,part,,-match,6,7,30,,Higher degree,285144,1741815432208,1741815147064,female,83,English,NA,10429,13
945,,part,,random,6,8,30,,Higher degree,285144,1741815432208,1741815147064,female,139,English,NA,4951,14
945,,sum,,random,6,10,30,,Higher degree,285144,1741815432208,1741815147064,female,62,English,NA,7361,15
945,,sum,,+match,6,88,30,,Higher degree,285144,1741815432208,1741815147064,female,124,English,NA,5156,16
945,,sum,,random,6,12,30,,Higher degree,285144,1741815432208,1741815147064,female,98,English,NA,7481,17
945,,part,,-match,6,4,30,,Higher degree,285144,1741815432208,1741815147064,female,11,English,NA,5626,18
945,,part,,-match,6,14,30,,Higher degree,285144,1741815432208,1741815147064,female,119,English,NA,6727,19
945,,-filler,,first,6,4,30,,Higher degree,285144,1741815432208,1741815147064,female,904,English,NA,5957,20
945,,sum,,random,6,8,30,,Higher degree,285144,1741815432208,1741815147064,female,134,English,NA,4545,21
945,,sum,,+match,6,17,30,,Higher degree,285144,1741815432208,1741815147064,female,52,English,NA,8994,22
945,,sum,,-match,6,95,30,,Higher degree,285144,1741815432208,1741815147064,female,78,English,NA,4691,23
945,,+filler,,second,6,4,30,,Higher degree,285144,1741815432208,1741815147064,female,905,English,NA,8111,24
945,,-filler,,first,6,2,30,,Higher degree,285144,1741815432208,1741815147064,female,902,English,NA,5496,25
945,,part,,random,6,6,30,,Higher degree,285144,1741815432208,1741815147064,female,67,English,NA,4842,26
945,,+filler,,second,6,5,30,,Higher degree,285144,1741815432208,1741815147064,female,901,English,NA,4289,27
945,,sum,,-match,6,95,30,,Higher degree,285144,1741815432208,1741815147064,female,6,English,NA,6505,28
945,,part,,-match,6,7,30,,Higher degree,285144,1741815432208,1741815147064,female,47,English,NA,5239,29
